"","StateName","StructureNumber","ElementNumber","Year.of.Inspection","ConditionState1","ConditionState2","ConditionState3","ConditionState4","FunctionalClassOfInventoryRte","TypeOfDesignConstruction","DeckStructureType","DeckProtection","ScourCriticalBridges","Owner","KindOfMaterialDesign","ADT","ADTT","Year.Built","Skew","TypeOfWearingSurface","ScourCriticalBridges.1","NumberOfSnowfalls","NumberOfFreezeThawCycles","TotalElement"
"302048","Oregon","2000B 068200023",12,2011,1100,0,0,0,9,2,1,0,"U",2,7,46,0,1934,0,6,"U",21,46,1100
"302049","Oregon","2000B 068200023",12,2013,1100,0,0,0,9,2,1,0,"U",2,7,46,0,1934,0,6,"U",12,28,1100
"302120","Oregon","20020 063 00037",12,2010,5703,9504,3802,0,6,5,1,1,"N",1,6,6100,671,2008,45,1,"N",8,42,19009
"302149","Oregon","20021 001 03609",12,2010,13872,1734,1734,0,1,5,1,1,"N",1,2,19796,3959,2008,30,1,"N",8,42,17340
"302178","Oregon","20022 001 03609",12,2010,17340,0,0,0,1,5,1,1,"N",1,2,19796,3959,2008,30,1,"N",8,42,17340
"302212","Oregon","20026 001 25213",12,2010,30910,3435,0,0,11,2,1,0,"5",1,5,64100,10897,2007,15,1,"5",1,8,34345
"302213","Oregon","20026 001 25213",12,2012,30910,3435,0,0,11,2,1,0,"5",1,5,92300,11999,2007,15,1,"5",12,11,34345
"302214","Oregon","20026 001 25213",12,2014,32345,2000,0,0,11,2,1,0,"5",1,5,92300,11999,2007,15,1,"5",3,16,34345
"302236","Oregon","20027 224 00002",12,2008,6050,0,0,0,8,2,2,0,"U",2,2,119,35,2004,0,6,"U",21,126,6050
"302237","Oregon","20027 224 00002",12,2010,6050,0,0,0,8,2,2,0,"U",2,2,124,37,2004,0,6,"U",26,98,6050
"302238","Oregon","20027 224 00002",12,2012,6050,0,0,0,8,2,2,0,"U",2,5,124,37,2004,0,6,"U",22,113,6050
"302362","Oregon","20034 001 25254",12,2010,12691,705,705,0,11,2,1,0,"5",1,5,35653,7843,2007,45,1,"5",1,8,14101
"302363","Oregon","20034 001 25254",12,2012,11986,1410,705,0,11,2,1,0,"5",1,5,35653,7843,2007,45,1,"5",12,11,14101
"302364","Oregon","20034 001 25254",12,2014,13061,1040,0,0,11,2,1,0,"5",1,5,35653,7843,2007,45,1,"5",3,16,14101
"302386","Oregon","20035 001 25257",12,2010,13280,738,738,0,11,2,1,0,"5",1,5,35653,7843,2007,43,1,"5",1,8,14756
"302387","Oregon","20035 001 25257",12,2012,12542,1476,738,0,11,2,1,0,"5",1,5,35653,7843,2007,43,1,"5",12,11,14756
"302388","Oregon","20035 001 25257",12,2014,13676,1080,0,0,11,2,1,0,"5",1,5,35653,7843,2007,43,1,"5",3,16,14756
"302410","Oregon","20039 001 17224",12,2010,15609,821,0,0,7,2,1,0,"N",1,6,1977,434,2008,36,1,"N",2,8,16430
"302411","Oregon","20039 001 17224",12,2012,13966,2464,0,0,7,2,1,0,"N",1,6,1977,434,2008,36,1,"N",11,10,16430
"302412","Oregon","20039 001 17224",12,2014,16365,65,0,0,7,2,1,0,"N",1,6,1977,434,2008,36,1,"N",2,10,16430
"302437","Oregon","20040 001 17424",12,2010,4302,478,0,0,11,2,1,1,"N",1,5,13736,3434,2008,0,1,"N",2,8,4780
"302438","Oregon","20040 001 17424",12,2012,4541,239,0,0,11,2,1,0,"N",1,5,13736,3434,2008,37,1,"N",11,10,4780
"302439","Oregon","20040 001 17424",12,2014,3962,390,428,0,11,2,1,0,"N",1,5,13736,3434,2008,37,1,"N",2,10,4780
"302458","Oregon","20041 001 17424",12,2010,4202,233,233,0,11,2,1,0,"N",1,5,11968,2273,2008,38,1,"N",2,8,4668
"302459","Oregon","20041 001 17424",12,2012,4201,233,234,0,11,2,1,0,"N",1,5,11968,2273,2008,38,1,"N",11,10,4668
"302460","Oregon","20041 001 17424",12,2014,1154,1180,2334,0,11,2,1,0,"N",1,5,11968,2273,2008,38,1,"N",2,10,4668
"302634","Oregon","20051 041 06563",12,2008,5760,0,0,0,2,2,1,1,"5",1,2,1000,80,2007,45,1,"5",16,93,5760
"302635","Oregon","20051 041 06563",12,2010,5760,0,0,0,2,2,1,1,"5",1,5,1010,80,2008,45,1,"5",2,87,5760
"302636","Oregon","20051 041 06563",12,2012,5760,0,0,0,2,2,1,1,"5",1,5,880,255,2008,45,1,"5",5,102,5760
"302637","Oregon","20051 041 06563",12,2015,5660,100,0,0,2,2,1,1,"5",1,5,880,255,2008,45,1,"5",3,65,5760
"302661","Oregon","20052 041 06585",12,2007,4523,0,0,0,2,5,2,0,"5",1,1,1100,110,2006,30,6,"5",7,78,4523
"302662","Oregon","20052 041 06585",12,2009,4297,226,0,0,2,5,1,1,"5",1,5,1010,80,2006,30,2,"5",9,89,4523
"302663","Oregon","20052 041 06585",12,2010,4071,452,0,0,2,5,1,1,"5",1,5,920,110,2006,30,2,"5",2,87,4523
"302664","Oregon","20052 041 06585",12,2012,1357,2261,905,0,2,5,1,1,"5",1,5,880,255,2006,30,2,"5",5,102,4523
"302665","Oregon","20052 041 06585",12,2015,3523,1000,0,0,2,5,1,1,"5",1,5,880,255,2006,30,2,"5",3,65,4523
"302729","Oregon","20054 906 00019",12,2011,5888,0,1962,0,16,2,1,1,"4",4,5,4090,409,2005,0,1,"4",9,54,7850
"302730","Oregon","20054 906 00019",12,2013,5887,0,1963,0,7,2,1,1,"4",4,5,4090,409,2005,0,1,"4",6,40,7850
"302761","Oregon","20056 803 02301",12,2011,9000,0,0,0,7,2,9,0,"U",2,5,2050,205,2005,30,6,"U",9,54,9000
"302908","Oregon","20065 009 00213",12,2009,3593,0,0,0,7,2,1,0,"5",2,5,2885,288,2006,0,1,"5",4,18,3593
"302909","Oregon","20065 009 00213",12,2010,0,3593,0,0,7,2,1,0,"5",2,5,2885,288,2006,0,1,"5",NA,3,3593
"302910","Oregon","20065 009 00213",12,2012,0,3593,0,0,7,2,1,0,"5",2,5,2885,288,2006,0,1,"5",12,3,3593
"302911","Oregon","20065 009 00213",12,2015,0,3593,0,0,7,2,1,0,"5",2,5,2885,288,2006,0,1,"5",1,1,3593
"302928","Oregon","20066 021 01032",12,2009,18091,0,0,0,7,2,1,0,"5",2,6,4229,422,2005,0,1,"5",4,18,18091
"302929","Oregon","20066 021 01032",12,2010,18091,0,0,0,7,2,1,0,"5",2,6,4229,422,2005,0,1,"5",NA,3,18091
"302930","Oregon","20066 021 01032",12,2012,18091,0,0,0,7,2,1,0,"5",2,6,4229,422,2005,0,1,"5",12,3,18091
"302931","Oregon","20066 021 01032",12,2015,18060,31,0,0,7,2,1,0,"5",2,6,4229,422,2005,0,1,"5",1,1,18091
"302999","Oregon","20069 142 00184",12,2008,16000,0,0,0,6,2,1,0,"5",2,5,7416,741,2005,0,1,"5",12,14,16000
"303000","Oregon","20069 142 00184",12,2010,16000,0,0,0,6,2,1,0,"5",2,5,7490,749,2005,0,1,"5",3,2,16000
"303001","Oregon","20069 142 00184",12,2012,16000,0,0,0,6,2,1,0,"5",2,5,7490,749,2005,0,1,"5",11,3,16000
"303002","Oregon","20069 142 00184",12,2014,16000,0,0,0,6,2,1,0,"5",2,5,7490,749,2005,0,1,"5",4,12,16000
"303030","Oregon","20070 804 00150",12,2007,3850,0,0,0,7,1,2,0,"N",2,2,4632,463,2005,0,0,"N",13,56,3850
"303031","Oregon","20070 804 00150",12,2011,3850,0,0,0,7,1,1,1,"N",2,5,4963,496,2005,0,6,"N",9,54,3850
"303032","Oregon","20070 804 00150",12,2013,3850,0,0,0,7,1,1,1,"N",2,5,4963,496,2005,0,6,"N",6,40,3850
"303077","Oregon","20072 778 01160",12,2007,3600,0,0,0,7,0,NA,0,"U",2,0,1752,175,2005,27,NA,"U",13,56,3600
"303223","Oregon","20083 722 00088",12,2007,4420,0,0,0,7,0,NA,0,"U",2,0,1395,139,2006,30,NA,"U",13,56,4420
"303224","Oregon","20083 722 00088",12,2011,4420,0,0,0,7,2,1,1,"U",2,5,1495,149,2006,30,1,"U",9,54,4420
"303225","Oregon","20083 722 00088",12,2013,4420,0,0,0,7,2,1,1,"U",2,5,1495,149,2006,30,1,"U",6,40,4420
"303294","Oregon","20088 010 00542",12,2009,2020,0,8080,0,7,2,1,0,"U",2,6,1407,351,2007,0,1,"U",4,18,10100
"303295","Oregon","20088 010 00542",12,2010,2020,0,8080,0,7,2,1,0,"U",2,6,1407,351,2007,0,1,"U",NA,3,10100
"303296","Oregon","20088 010 00542",12,2012,2020,0,8080,0,7,2,1,0,"4",2,6,1407,351,2007,0,1,"4",12,3,10100
"303297","Oregon","20088 010 00542",12,2015,9600,500,0,0,7,2,1,0,"4",2,6,1407,351,2007,0,1,"4",1,1,10100
"303327","Oregon","20089 000 00000",12,2013,1486,0,0,0,9,4,1,1,"8",2,1,56,2,2005,10,6,"8",1,9,1486
"303357","Oregon","20091 073 00000",12,2007,4680,0,0,0,7,2,1,0,"5",2,5,1514,105,2006,0,1,"5",8,25,4680
"303358","Oregon","20091 073 00000",12,2008,4680,0,0,0,7,2,1,0,"5",2,5,1559,109,2006,0,1,"5",10,20,4680
"303359","Oregon","20091 073 00000",12,2010,4680,0,0,0,7,2,1,0,"5",2,5,1575,110,2006,0,1,"5",1,8,4680
"303360","Oregon","20091 073 00000",12,2012,4680,0,0,0,7,2,1,1,"5",2,5,1575,110,2006,0,1,"5",12,11,4680
"303361","Oregon","20091 073 00000",12,2014,4660,20,0,0,8,2,1,1,"5",2,5,1575,110,2006,0,1,"5",3,16,4680
"303409","Oregon","20094 001 09953",12,2007,4550,0,0,0,1,5,2,0,"N",1,6,13000,4290,1958,30,1,"N",15,35,4550
"303410","Oregon","20094 001 09953",12,2009,4550,0,0,0,1,5,2,0,"N",1,5,13524,4462,2007,30,1,"N",3,33,4550
"303411","Oregon","20094 001 09953",12,2010,2730,1365,455,0,1,5,2,0,"N",1,5,13524,4462,2007,30,1,"N",7,13,4550
"303412","Oregon","20094 001 09953",12,2012,2730,1365,455,0,1,5,2,0,"N",1,5,13524,4462,2007,30,1,"N",19,24,4550
"303413","Oregon","20094 001 09953",12,2015,2150,2400,0,0,1,5,2,0,"N",1,5,13524,4462,2007,30,1,"N",13,18,4550
"303441","Oregon","20101 000 00000",12,2009,4761,0,0,0,19,4,2,0,"4",4,5,3100,31,2005,0,6,"4",3,33,4761
"303442","Oregon","20101 000 00000",12,2010,4761,0,0,0,19,4,2,0,"4",4,5,3100,31,2005,0,6,"4",7,13,4761
"303443","Oregon","20101 000 00000",12,2012,4761,0,0,0,19,4,2,0,"4",4,5,3100,31,2005,0,6,"4",19,24,4761
"303488","Oregon","20103 222 01444",12,2007,4020,804,536,0,6,1,1,0,"5",1,1,6400,448,2006,25,0,"5",2,16,5360
"303489","Oregon","20103 222 01444",12,2008,4020,804,536,0,6,1,1,0,"5",1,5,6200,248,2006,25,2,"5",7,23,5360
"303490","Oregon","20103 222 01444",12,2010,2680,1340,1340,0,6,5,1,0,"5",1,5,5000,300,2006,25,2,"5",2,8,5360
"303491","Oregon","20103 222 01444",12,2011,5360,0,0,0,6,5,1,0,"5",1,5,5000,300,2006,25,2,"5",4,15,5360
"303492","Oregon","20103 222 01444",12,2013,5358,2,0,0,6,5,1,0,"5",1,5,10900,1090,2006,25,1,"5",2,17,5360
"303761","Oregon","20122 859 00900",12,2007,10850,0,0,0,7,2,1,1,"U",2,2,1524,152,2005,0,1,"U",13,56,10850
"303762","Oregon","20122 859 00900",12,2011,10307,543,0,0,7,2,1,1,"U",2,6,1633,163,2005,0,1,"U",9,54,10850
"303763","Oregon","20122 859 00900",12,2013,9765,1085,0,0,7,2,1,1,"U",2,6,1633,163,2005,0,1,"U",6,40,10850
"303845","Oregon","20127 001200390",12,2006,15285,0,0,0,7,4,1,0,"8",2,5,852,170,2005,0,1,"8",NA,8,15285
"303846","Oregon","20127 001200390",12,2008,15285,0,0,0,7,2,1,0,"8",2,5,878,175,2006,0,1,"8",NA,10,15285
"303847","Oregon","20127 001200390",12,2010,15285,0,0,0,7,2,1,0,"8",2,5,887,177,2006,0,1,"8",NA,4,15285
"303848","Oregon","20127 001200390",12,2012,15285,0,0,0,7,2,1,0,"8",2,5,887,177,2006,0,1,"8",1,4,15285
"303849","Oregon","20127 001200390",12,2015,15285,0,0,0,7,2,1,0,"8",2,5,887,177,2006,0,1,"8",NA,2,15285
"303987","Oregon","20133 000 00014",12,2007,5521,0,0,0,16,5,1,9,"N",4,5,8090,1618,2006,16,9,"N",1,11,5521
"303988","Oregon","20133 000 00014",12,2008,5521,0,0,0,16,5,1,9,"N",4,5,8333,1666,2006,16,9,"N",11,15,5521
"303989","Oregon","20133 000 00014",12,2010,5521,0,0,0,16,5,1,1,"N",4,5,8416,1683,2006,0,1,"N",2,3,5521
"303990","Oregon","20133 000 00014",12,2012,5521,0,0,0,16,5,1,1,"N",4,5,8416,1683,2006,20,1,"N",6,2,5521
"303991","Oregon","20133 000 00014",12,2014,5153,268,100,0,16,5,1,1,"N",4,5,8416,1683,2006,20,1,"N",4,12,5521
"304029","Oregon","20134 000 00038",12,2007,9062,0,0,0,17,2,2,0,"U",4,5,5343,1335,2006,0,6,"U",1,11,9062
"304030","Oregon","20134 000 00038",12,2008,9062,0,0,0,17,2,2,0,"5",4,5,5503,1375,2006,0,6,"5",11,15,9062
"304031","Oregon","20134 000 00038",12,2010,9062,0,0,0,17,2,1,1,"5",4,5,5558,1389,2006,0,6,"5",2,3,9062
"304032","Oregon","20134 000 00038",12,2012,9062,0,0,0,17,2,1,1,"5",4,5,5558,1389,2006,0,6,"5",6,2,9062
"304060","Oregon","20136 000000000",12,2009,68023,0,0,0,6,12,1,0,"U",2,3,4371,437,2008,0,1,"U",7,16,68023
"304061","Oregon","20136 000000000",12,2011,68023,0,0,0,6,12,1,1,"U",2,3,4371,437,2008,0,1,"U",3,8,68023
"304062","Oregon","20136 000000000",12,2013,68023,0,0,0,6,12,1,1,"U",2,3,4371,437,2008,0,1,"U",NA,11,68023
"304162","Oregon","20147 007 00367",12,2007,12173,0,0,0,7,5,1,1,"5",2,5,1113,111,2006,30,1,"5",18,31,12173
"304163","Oregon","20147 007 00367",12,2009,12173,0,0,0,7,5,1,1,"5",2,5,1192,119,2006,30,1,"5",27,42,12173
"304164","Oregon","20147 007 00367",12,2011,12173,0,0,0,7,5,1,1,"5",2,5,1192,119,2006,30,1,"5",38,37,12173
"304165","Oregon","20147 007 00367",12,2013,12173,0,0,0,7,1,1,1,"5",2,5,1192,119,2006,30,1,"5",19,23,12173
"304194","Oregon","20148 008 00168",12,2009,9000,0,0,0,7,3,1,8,"U",2,3,1511,151,2008,0,6,"U",27,42,9000
"304195","Oregon","20148 008 00168",12,2011,9000,0,0,0,7,2,1,1,"U",2,5,1511,151,2008,0,1,"U",38,37,9000
"304196","Oregon","20148 008 00168",12,2013,9000,0,0,0,7,2,1,1,"U",2,5,1511,151,2008,0,1,"U",19,23,9000
"304217","Oregon","20149 000 00037",12,2007,1857,0,0,0,9,5,1,1,"5",2,5,258,25,2006,0,6,"5",18,31,1857
"304218","Oregon","20149 000 00037",12,2009,1857,0,0,0,9,5,1,1,"5",2,5,277,27,2006,0,6,"5",27,42,1857
"304241","Oregon","20150 035 00000",12,2007,3900,0,0,0,7,5,1,0,"N",2,5,2400,240,2006,40,0,"N",8,25,3900
"304242","Oregon","20150 035 00000",12,2008,3900,0,0,0,7,5,1,0,"N",2,5,2472,247,2006,40,1,"N",10,20,3900
"304243","Oregon","20150 035 00000",12,2010,3900,0,0,0,7,5,1,0,"N",2,5,2497,249,2006,40,1,"N",1,8,3900
"304244","Oregon","20150 035 00000",12,2012,3900,0,0,0,7,5,1,0,"N",2,5,2497,249,2006,40,1,"N",12,11,3900
"304245","Oregon","20150 035 00000",12,2014,3900,0,0,0,7,5,1,0,"N",2,5,2497,249,2006,40,1,"N",3,16,3900
"304277","Oregon","20151 063 00035",12,2010,990,660,0,0,2,1,1,1,"5",1,5,6767,744,2008,76,1,"5",8,42,1650
"304278","Oregon","20151 063 00035",12,2012,1320,330,0,0,2,1,1,1,"5",1,5,1700,255,2008,14,1,"5",17,49,1650
"304279","Oregon","20151 063 00035",12,2015,850,800,0,0,11,6,1,1,"5",1,5,1700,255,2008,14,1,"5",13,24,1650
"304300","Oregon","20153 062 00117",12,2010,30485,0,0,0,2,2,1,3,"5",1,6,5700,570,2009,0,1,"5",2,8,30485
"304301","Oregon","20153 062 00117",12,2012,27437,3048,0,0,2,2,1,3,"5",1,6,5300,530,2009,0,1,"5",11,10,30485
"304302","Oregon","20153 062 00117",12,2014,30335,150,0,0,2,2,1,3,"5",1,6,5300,530,2009,0,1,"5",2,10,30485
"304782","Oregon","20198 009 13386",12,2009,10763,0,0,0,2,11,1,3,"U",1,1,8383,754,2008,0,1,"U",NA,6,10763
"304783","Oregon","20198 009 13386",12,2011,10763,0,0,0,2,11,1,3,"5",1,1,7900,711,2008,0,1,"5",1,2,10763
"304784","Oregon","20198 009 13386",12,2013,10763,0,0,0,2,11,1,3,"5",1,1,10800,972,2008,0,1,"5",1,9,10763
"304809","Oregon","20199 000 00000",12,2007,18015,6005,0,0,19,2,1,1,"N",25,5,1000,20,2001,20,1,"N",1,11,24020
"304810","Oregon","20199 000 00000",12,2009,18015,6005,0,0,19,2,1,1,"N",25,5,1040,20,2001,20,1,"N",7,16,24020
"304811","Oregon","20199 000 00000",12,2010,18015,6005,0,0,19,2,1,1,"N",25,5,1040,20,2001,20,1,"N",2,3,24020
"304812","Oregon","20199 000 00000",12,2012,18015,6005,0,0,19,2,1,1,"N",25,5,1040,20,2001,20,1,"N",6,2,24020
"304813","Oregon","20199 000 00000",12,2015,18015,6005,0,0,19,2,1,1,"N",25,5,1040,20,2001,20,1,"N",NA,4,24020
"304848","Oregon","20201 045 01067",12,2011,3884,432,0,0,2,1,1,NA,"5",1,5,3400,544,2008,0,1,"5",13,36,4316
"304869","Oregon","20205 021C00025",12,2007,5152,0,0,0,9,5,2,1,"5",2,5,25,0,2006,8,1,"5",NA,7,5152
"304870","Oregon","20205 021C00025",12,2008,5152,0,0,0,9,5,2,1,"5",2,5,26,0,2006,8,1,"5",NA,10,5152
"304871","Oregon","20205 021C00025",12,2010,5152,0,0,0,9,1,2,1,"5",2,5,27,0,2006,8,1,"5",NA,4,5152
"304872","Oregon","20205 021C00025",12,2012,5152,0,0,0,9,1,2,1,"5",2,5,27,0,2006,8,1,"5",1,4,5152
"304873","Oregon","20205 021C00025",12,2015,5152,0,0,0,9,5,2,1,"5",2,5,27,0,2006,8,1,"5",NA,2,5152
"304905","Oregon","20206 004 15305",12,2008,4128,0,0,0,2,1,9,1,"N",1,5,5570,779,2006,0,1,"N",30,134,4128
"304906","Oregon","20206 004 15305",12,2010,4128,0,0,0,2,1,1,1,"N",1,5,5626,787,2006,0,1,"N",28,114,4128
"304907","Oregon","20206 004 15305",12,2012,2064,1238,826,0,2,5,1,1,"N",1,5,5626,787,2006,0,1,"N",22,123,4128
"304908","Oregon","20206 004 15305",12,2015,2890,1238,0,0,2,5,1,1,"N",1,5,5626,787,2006,0,1,"N",8,76,4128
"304930","Oregon","20207 004 15308",12,2010,4128,0,0,0,2,1,1,1,"N",1,5,5757,805,2005,0,1,"N",28,114,4128
"304931","Oregon","20207 004 15308",12,2012,2064,1238,826,0,2,5,1,1,"N",1,5,5757,805,2005,0,1,"N",22,123,4128
"304932","Oregon","20207 004 15308",12,2015,2828,1300,0,0,2,5,1,1,"N",1,5,5757,805,2005,0,1,"N",8,76,4128
"304985","Oregon","20212 001 13046",12,2007,6370,0,0,0,1,1,1,0,"N",1,5,16150,3553,2005,50,1,"N",15,35,6370
"304986","Oregon","20212 001 13046",12,2009,6370,0,0,0,1,1,1,0,"N",1,6,15908,4454,2007,40,1,"N",3,33,6370
"304987","Oregon","20212 001 13046",12,2011,6370,0,0,0,1,1,1,0,"N",1,6,15908,4454,2007,40,1,"N",13,36,6370
"305029","Oregon","20213 001 13046",12,2007,5733,637,0,0,1,1,1,0,"N",1,6,16150,3553,2005,32,1,"N",15,35,6370
"305030","Oregon","20213 001 13046",12,2009,5415,637,318,0,1,1,1,0,"N",1,6,15908,4454,2005,40,1,"N",3,33,6370
"305031","Oregon","20213 001 13046",12,2011,4459,1593,318,0,1,1,1,0,"N",1,6,15908,4454,2005,40,1,"N",13,36,6370
"305074","Oregon","20214 001 13147",12,2007,8504,473,473,0,1,1,1,0,"8",1,5,16150,3553,2006,30,1,"8",15,35,9450
"305075","Oregon","20214 001 13147",12,2009,8504,473,473,0,1,1,1,0,"8",1,6,15908,4454,2006,30,1,"8",3,33,9450
"305076","Oregon","20214 001 13147",12,2011,9450,0,0,0,1,1,1,0,"8",1,6,15908,4454,2006,30,1,"8",13,36,9450
"305218","Oregon","20219 000 00000",12,2012,4346,0,0,0,19,5,2,3,"8",4,5,1000,50,2005,0,6,"8",11,10,4346
"305231","Oregon","20220 859 00290",12,2007,4565,0,0,0,7,2,2,1,"5",2,5,2044,204,2006,0,1,"5",13,56,4565
"305232","Oregon","20220 859 00290",12,2011,4565,0,0,0,7,1,2,1,"5",2,6,2126,212,2006,0,1,"5",9,54,4565
"305233","Oregon","20220 859 00290",12,2013,4565,0,0,0,7,1,2,1,"5",2,6,2126,212,2006,0,1,"5",6,40,4565
"305378","Oregon","20239 001 13871",12,2007,23436,2604,0,0,1,2,1,0,"4",1,5,22600,6780,2006,0,1,"4",15,35,26040
"305379","Oregon","20239 001 13871",12,2009,23436,2604,0,0,1,2,1,0,"4",1,5,22220,6666,2006,0,1,"4",3,33,26040
"305380","Oregon","20239 001 13871",12,2011,26040,0,0,0,1,2,1,0,"4",1,5,20000,7200,2006,0,1,"4",13,36,26040
"305381","Oregon","20239 001 13871",12,2013,26040,0,0,0,1,2,1,0,"4",1,5,22200,6882,2006,0,1,"4",8,21,26040
"305382","Oregon","20239 001 13871",12,2015,22628,3412,0,0,1,2,1,0,"4",1,5,22200,6882,2006,0,1,"4",13,18,26040
"305426","Oregon","20240 001 13860",12,2007,4464,558,558,0,1,1,2,0,"N",1,5,22600,6780,2006,0,1,"N",15,35,5580
"305427","Oregon","20240 001 13860",12,2009,2232,1116,2232,0,1,1,2,0,"N",1,5,22220,6666,2006,0,1,"N",3,33,5580
"305428","Oregon","20240 001 13860",12,2011,2232,1116,2232,0,1,1,2,0,"N",1,5,20000,7200,2006,0,1,"N",13,36,5580
"305575","Oregon","20252 039 02466",12,2010,8893,0,0,0,2,2,1,0,"N",1,6,1000,20,2009,51,1,"N",8,5,8893
"305576","Oregon","20252 039 02466",12,2012,8893,0,0,0,2,2,1,0,"N",1,6,1000,20,2009,51,1,"N",20,12,8893
"305577","Oregon","20252 039 02466",12,2015,8820,73,0,0,7,2,1,0,"N",1,6,1000,20,2009,51,1,"N",2,7,8893
"305599","Oregon","20255 341 04701",12,2009,6860,0,0,0,6,2,1,1,"N",1,3,1714,239,2008,50,1,"N",25,102,6860
"305600","Oregon","20255 341 04701",12,2011,6860,0,0,0,6,2,1,1,"N",1,3,520,0,2008,50,1,"N",21,107,6860
"305601","Oregon","20255 341 04701",12,2013,6860,0,0,0,6,2,1,1,"N",1,3,520,0,2008,50,1,"N",15,100,6860
"305711","Oregon","20276 858 00254",12,2007,9167,0,0,0,7,2,1,0,"U",2,6,690,138,2006,0,1,"U",2,6,9167
"305712","Oregon","20276 858 00254",12,2008,9167,0,0,0,7,2,1,0,"U",2,6,711,142,2006,0,1,"U",8,9,9167
"305713","Oregon","20276 858 00254",12,2009,9167,0,0,0,7,2,1,0,"U",2,6,739,147,2006,0,1,"U",2,8,9167
"305714","Oregon","20276 858 00254",12,2011,9167,0,0,0,7,2,1,0,"U",2,6,739,147,2006,0,1,"U",9,7,9167
"305715","Oregon","20276 858 00254",12,2013,9167,0,0,0,7,2,1,0,"5",2,6,739,147,2006,0,1,"5",1,9,9167
"306030","Oregon","20295 143000122",12,2010,24770,0,0,0,6,4,1,0,"U",2,5,6644,664,2008,0,1,"U",3,2,24770
"306031","Oregon","20295 143000122",12,2012,24770,0,0,0,6,4,1,0,"U",2,5,6644,664,2008,0,1,"U",11,3,24770
"306032","Oregon","20295 143000122",12,2014,24590,100,80,0,7,4,1,0,"U",2,5,6644,664,2008,0,1,"U",4,12,24770
"306202","Oregon","20304 001400223",12,2007,4825,0,0,0,16,1,2,1,"5",2,5,18831,941,2005,0,6,"5",1,9,4825
"306203","Oregon","20304 001400223",12,2009,4825,0,0,0,16,1,2,1,"5",2,5,19590,979,2005,0,6,"5",6,14,4825
"306204","Oregon","20304 001400223",12,2010,4825,0,0,0,16,1,2,1,"5",2,5,19590,979,2005,0,6,"5",3,2,4825
"306205","Oregon","20304 001400223",12,2012,4825,0,0,0,16,1,2,1,"5",2,5,19590,979,2005,0,6,"5",11,3,4825
"306267","Oregon","20307 000 00080",12,2008,24121,0,0,0,16,2,1,0,"U",4,6,7520,827,2008,84,1,"U",29,53,24121
"306268","Oregon","20307 000 00080",12,2009,21709,2412,0,0,16,2,1,0,"5",4,6,7595,835,2008,84,1,"5",8,44,24121
"306269","Oregon","20307 000 00080",12,2011,21709,2412,0,0,16,2,1,0,"5",4,6,7520,827,2008,84,1,"5",21,46,24121
"306270","Oregon","20307 000 00080",12,2013,21709,2412,0,0,16,2,1,0,"5",4,6,7520,827,2008,84,1,"5",12,28,24121
"306339","Oregon","20317 000 01061",12,2007,5027,0,0,0,7,4,1,0,"U",2,2,2980,447,2005,45,1,"U",15,35,5027
"306340","Oregon","20317 000 01061",12,2009,5027,0,0,0,7,4,1,0,"U",2,2,3100,465,2005,45,1,"U",3,33,5027
"306341","Oregon","20317 000 01061",12,2011,5027,0,0,0,7,4,1,0,"U",2,2,3100,465,2005,45,1,"U",13,36,5027
"306342","Oregon","20317 000 01061",12,2013,0,5027,0,0,7,4,1,0,"U",2,2,3100,465,2005,45,1,"U",8,21,5027
"306380","Oregon","20326 041 03399",12,2009,3584,0,0,0,2,4,1,0,"U",1,5,1111,88,2008,35,0,"U",19,118,3584
"306381","Oregon","20326 041 03399",12,2011,1792,1792,0,0,2,2,1,1,"5",1,5,940,84,2008,35,1,"5",12,126,3584
"306382","Oregon","20326 041 03399",12,2013,3226,358,0,0,2,2,1,1,"5",1,5,930,260,2008,35,1,"5",8,114,3584
"306401","Oregon","20327 041 03744",12,2009,3584,0,0,0,2,4,1,0,"U",1,5,1111,88,2008,10,0,"U",19,118,3584
"306402","Oregon","20327 041 03744",12,2011,3584,0,0,0,2,2,1,1,"5",1,5,1000,90,2009,10,1,"5",12,126,3584
"306403","Oregon","20327 041 03744",12,2013,3046,538,0,0,2,2,1,1,"5",1,5,850,238,2009,10,1,"5",8,114,3584
"306483","Oregon","20331 041600043",12,2009,7619,0,0,0,9,2,1,0,"U",2,5,131,13,2008,0,1,"U",8,44,7619
"306484","Oregon","20331 041600043",12,2011,7619,0,0,0,9,2,1,0,"U",2,5,130,13,2008,0,1,"U",21,46,7619
"306485","Oregon","20331 041600043",12,2013,7619,0,0,0,9,2,1,0,"U",2,5,130,13,2008,0,1,"U",12,28,7619
"306504","Oregon","20333 035 07665",12,2007,11520,1280,0,0,2,1,1,0,"N",1,5,22500,1350,2006,0,1,"N",15,35,12800
"306505","Oregon","20333 035 07665",12,2008,8960,3840,0,0,2,1,1,0,"N",1,5,25200,4536,2006,0,1,"N",20,31,12800
"306506","Oregon","20333 035 07665",12,2010,11520,1280,0,0,2,5,1,0,"N",1,5,23100,1386,2006,0,1,"N",7,13,12800
"306507","Oregon","20333 035 07665",12,2012,11520,1280,0,0,2,5,1,0,"N",1,5,22700,1816,2006,31,1,"N",19,24,12800
